"pli-tv-bi-pm:9.0","Expulsion 1. Sexual Intercourse "
"pli-tv-bi-pm:9.1","pli-tv-bu-vb-pj1:7.1.16.1"
"pli-tv-bi-pm:10.0","Expulsion 2. Theft "
"pli-tv-bi-pm:10.1","pli-tv-bu-vb-pj2:2.28.1"
"pli-tv-bi-pm:10.2","pli-tv-bu-vb-pj2:2.29"
"pli-tv-bi-pm:10.3","pli-tv-bu-vb-pj2:2.30"
"pli-tv-bi-pm:11.0","Expulsion 3. Murder "
"pli-tv-bi-pm:11.1","pli-tv-bu-vb-pj3:2.49.1"
"pli-tv-bi-pm:11.2","pli-tv-bu-vb-pj3:2.50"
"pli-tv-bi-pm:11.3","pli-tv-bu-vb-pj3:2.51"
"pli-tv-bi-pm:11.4","pli-tv-bu-vb-pj3:2.52"
"pli-tv-bi-pm:12.0","Expulsion 3. Laying False Claim to Superhuman Attainments "
"pli-tv-bi-pm:12.1","pli-tv-bu-vb-pj4:2.12.1"
"pli-tv-bi-pm:12.2","pli-tv-bu-vb-pj4:2.13"
"pli-tv-bi-pm:12.3","pli-tv-bu-vb-pj4:2.14"
"pli-tv-bi-pm:12.4","pli-tv-bu-vb-pj4:2.15"
"pli-tv-bi-pm:13.0","Expulsion 5. Above the Knees "
"pli-tv-bi-pm:13.1","pli-tv-bi-vb-pj5:1.54.1"
"pli-tv-bi-pm:14.0","Expulsion 6. Conceal Offenses "
"pli-tv-bi-pm:14.1","pli-tv-bi-vb-pj6:1.23.1"
"pli-tv-bi-pm:15.0","Expulsion 7. Siding with One Ejected "
"pli-tv-bi-pm:15.1","pli-tv-bi-vb-pj7:1.11.1"
"pli-tv-bi-pm:15.2","pli-tv-bi-vb-pj7:1.12"
"pli-tv-bi-pm:15.3","pli-tv-bi-vb-pj7:1.13"
"pli-tv-bi-pm:15.4","pli-tv-bi-vb-pj7:1.14"
"pli-tv-bi-pm:15.5","pli-tv-bi-vb-pj7:1.15"
"pli-tv-bi-pm:16.0","Expulsion 8. Eight Factors "
"pli-tv-bi-pm:16.1","pli-tv-bi-vb-pj8:1.11.1"
"pli-tv-bi-pm:17.1","pli-tv-bi-vb-pj8:2.2.11"
"pli-tv-bi-pm:17.2,pli-tv-bi-pm:17.3","pli-tv-bi-vb-pj8:2.2.12"
"pli-tv-bi-pm:17.4","pli-tv-bi-vb-pj8:2.2.13,pli-tv-bi-vb-pj8:2.2.14"
"pli-tv-bi-pm:17.5","pli-tv-bi-vb-pj8:2.2.15,pli-tv-bi-vb-pj8:2.2.16"
"pli-tv-bi-pm:17.6","pli-tv-bi-vb-pj8:2.2.17,pli-tv-bi-vb-pj8:2.2.18"
"pli-tv-bi-pm:17.7","pli-tv-bi-vb-pj8:2.2.19"
"pli-tv-bi-pm:17.8","pli-tv-bi-vb-pj8:2.2.20"
"pli-tv-bi-pm:18.0","Recitation of the Rules of Suspension "
"pli-tv-bi-pm:18.1","pli-tv-bi-vb-ss1:0.5"
"pli-tv-bi-pm:19.0","Suspension 1: Litigious "
"pli-tv-bi-pm:19.1","pli-tv-bi-vb-ss1:1.56.1"
"pli-tv-bi-pm:20.0","Suspension 2: Ordaining a Criminal "
"pli-tv-bi-pm:20.1","pli-tv-bi-vb-ss2:1.40.1"
"pli-tv-bi-pm:21.0","Suspension 3. Walking Alone to the Next Village "
"pli-tv-bi-pm:21.1","pli-tv-bi-vb-ss3:4.14.1"
"pli-tv-bi-pm:22.0","Suspension 4. Reinstating One Ejected "
"pli-tv-bi-pm:22.1","pli-tv-bi-vb-ss4:1.27.1"
"pli-tv-bi-pm:23.0","Suspension 5: Receiving Food With Lust "
"pli-tv-bi-pm:23.1","pli-tv-bi-vb-ss5:1.14.1"
"pli-tv-bi-pm:24.0","Suspension 6: Encouraging Receiving Food From One With Lust "
"pli-tv-bi-pm:24.1","pli-tv-bi-vb-ss6:1.26.1"
"pli-tv-bi-pm:25.0","Suspension 7. Matchmaking "
"pli-tv-bi-pm:25.1","pli-tv-bu-vb-ss5:2.2.13.1"
"pli-tv-bi-pm:26.0","Suspension 8: Making a Groundless Accusation Out of Anger "
"pli-tv-bi-pm:26.1","pli-tv-bu-vb-ss8:1.9.32.1"
"pli-tv-bi-pm:26.2","pli-tv-bu-vb-ss8:1.9.33"
"pli-tv-bi-pm:27.0","Suspension 9: Making an Accusation Out of Anger on an Irrelevant Pretext "
"pli-tv-bi-pm:27.1","pli-tv-bu-vb-ss9:1.2.14.1"
"pli-tv-bi-pm:27.2","pli-tv-bu-vb-ss9:1.2.15"
"pli-tv-bi-pm:28.0","Suspension 10: Renouncing the Training "
"pli-tv-bi-pm:28.1","pli-tv-bi-vb-ss10:1.19.1"
"pli-tv-bi-pm:28.2","pli-tv-bi-vb-ss10:1.19.1"
"pli-tv-bi-pm:28.3","pli-tv-bi-vb-ss10:1.21"
"pli-tv-bi-pm:28.4","pli-tv-bi-vb-ss10:1.22"
"pli-tv-bi-pm:28.5","pli-tv-bi-vb-ss10:1.23"
"pli-tv-bi-pm:28.6","pli-tv-bi-vb-ss10:1.24"
"pli-tv-bi-pm:28.7","pli-tv-bi-vb-ss10:1.25"
"pli-tv-bi-pm:29.0","Suspension 11: Getting Angry Over a Legal Issue "
"pli-tv-bi-pm:29.1","pli-tv-bi-vb-ss11:1.15.1"
"pli-tv-bi-pm:29.2","pli-tv-bi-vb-ss11:1.16,pli-tv-bi-vb-ss11:1.17"
"pli-tv-bi-pm:29.3","pli-tv-bi-vb-ss11:1.18,pli-tv-bi-vb-ss11:1.19"
"pli-tv-bi-pm:29.4","pli-tv-bi-vb-ss11:1.20"
"pli-tv-bi-pm:29.5","pli-tv-bi-vb-ss11:1.21"
"pli-tv-bi-pm:29.6","pli-tv-bi-vb-ss11:1.22"
"pli-tv-bi-pm:29.7","pli-tv-bi-vb-ss11:1.23"
"pli-tv-bi-pm:30.0","Suspension 12: Socializing "
"pli-tv-bi-pm:30.1","pli-tv-bi-vb-ss12:1.11.1"
"pli-tv-bi-pm:30.2","pli-tv-bi-vb-ss12:1.12"
"pli-tv-bi-pm:30.3","pli-tv-bi-vb-ss12:1.13"
"pli-tv-bi-pm:30.4","pli-tv-bi-vb-ss12:1.14"
"pli-tv-bi-pm:30.5","pli-tv-bi-vb-ss12:1.15"
"pli-tv-bi-pm:30.6","pli-tv-bi-vb-ss12:1.16"
"pli-tv-bi-pm:30.7","pli-tv-bi-vb-ss12:1.17"
"pli-tv-bi-pm:31.0","Suspension 13: Siding With One Socializing "
"pli-tv-bi-pm:31.1","pli-tv-bi-vb-ss13:1.23.1"
"pli-tv-bi-pm:31.2","pli-tv-bi-vb-ss13:1.24"
"pli-tv-bi-pm:31.3","pli-tv-bi-vb-ss13:1.25"
"pli-tv-bi-pm:31.4","pli-tv-bi-vb-ss13:1.26"
"pli-tv-bi-pm:31.5","pli-tv-bi-vb-ss13:1.27"
"pli-tv-bi-pm:31.6","pli-tv-bi-vb-ss13:1.28"
"pli-tv-bi-pm:31.7","pli-tv-bi-vb-ss13:1.29"
"pli-tv-bi-pm:31.8","pli-tv-bi-vb-ss13:1.30"
"pli-tv-bi-pm:31.9","pli-tv-bi-vb-ss13:1.31"
"pli-tv-bi-pm:31.10","pli-tv-bi-vb-ss13:1.32"
"pli-tv-bi-pm:31.11","pli-tv-bi-vb-ss13:1.33"
"pli-tv-bi-pm:31.12","pli-tv-bi-vb-ss13:1.34"
"pli-tv-bi-pm:32.0","Suspension 14. Causing Schism in the Saṅgha "
"pli-tv-bi-pm:32.1","pli-tv-bu-vb-ss10:1.3.16.1"
"pli-tv-bi-pm:32.2","pli-tv-bu-vb-ss10:1.3.17"
"pli-tv-bi-pm:32.3","pli-tv-bu-vb-ss10:1.3.18"
"pli-tv-bi-pm:32.4","pli-tv-bu-vb-ss10:1.3.19"
"pli-tv-bi-pm:32.5","pli-tv-bu-vb-ss10:1.3.20"
"pli-tv-bi-pm:32.6","pli-tv-bu-vb-ss10:1.3.21"
"pli-tv-bi-pm:33.0","Suspension 15: Following a Schismatic "
"pli-tv-bi-pm:33.1","pli-tv-bu-vb-ss11:1.19.1"
"pli-tv-bi-pm:33.2","pli-tv-bu-vb-ss11:1.20"
"pli-tv-bi-pm:33.3","pli-tv-bu-vb-ss11:1.21"
"pli-tv-bi-pm:33.4","pli-tv-bu-vb-ss11:1.22"
"pli-tv-bi-pm:33.5","pli-tv-bu-vb-ss11:1.23"
"pli-tv-bi-pm:33.6","pli-tv-bu-vb-ss11:1.24"
"pli-tv-bi-pm:33.7","pli-tv-bu-vb-ss11:1.25"
"pli-tv-bi-pm:33.8","pli-tv-bu-vb-ss11:1.26"
"pli-tv-bi-pm:33.9","pli-tv-bu-vb-ss11:1.27"
"pli-tv-bi-pm:33.10","pli-tv-bu-vb-ss11:1.28"
"pli-tv-bi-pm:33.11","pli-tv-bu-vb-ss11:1.29"
"pli-tv-bi-pm:33.12","pli-tv-bu-vb-ss11:1.30"
"pli-tv-bi-pm:34.0","Suspension 16: Difficult to Correct "
"pli-tv-bi-pm:34.1","pli-tv-bu-vb-ss12:1.26.1"
"pli-tv-bi-pm:34.2","pli-tv-bu-vb-ss12:1.27"
"pli-tv-bi-pm:34.3","pli-tv-bu-vb-ss12:1.28"
"pli-tv-bi-pm:34.4","pli-tv-bu-vb-ss12:1.29"
"pli-tv-bi-pm:34.5","pli-tv-bu-vb-ss12:1.30"
"pli-tv-bi-pm:34.6","pli-tv-bu-vb-ss12:1.31"
"pli-tv-bi-pm:34.7","pli-tv-bu-vb-ss12:1.32"
"pli-tv-bi-pm:34.8","pli-tv-bu-vb-ss12:1.33"
"pli-tv-bi-pm:34.9","pli-tv-bu-vb-ss12:1.34"
"pli-tv-bi-pm:34.10","pli-tv-bu-vb-ss12:1.35"
"pli-tv-bi-pm:35.0","Suspension 17: Corrupters of Families "
"pli-tv-bi-pm:35.1","pli-tv-bu-vb-ss13:1.8.10.1"
"pli-tv-bi-pm:35.2","pli-tv-bu-vb-ss13:1.8.11"
"pli-tv-bi-pm:35.3","pli-tv-bu-vb-ss13:1.8.12"
"pli-tv-bi-pm:35.4","pli-tv-bu-vb-ss13:1.8.13"
"pli-tv-bi-pm:35.5","pli-tv-bu-vb-ss13:1.8.14"
"pli-tv-bi-pm:35.6","pli-tv-bu-vb-ss13:1.8.15"
"pli-tv-bi-pm:35.7","pli-tv-bu-vb-ss13:1.8.16"
"pli-tv-bi-pm:35.8","pli-tv-bu-vb-ss13:1.8.17"
"pli-tv-bi-pm:35.9","pli-tv-bu-vb-ss13:1.8.18"
"pli-tv-bi-pm:35.10","pli-tv-bu-vb-ss13:1.8.19"
"pli-tv-bi-pm:35.11","pli-tv-bu-vb-ss13:1.8.20"
"pli-tv-bi-pm:36.1","pli-tv-bi-vb-ss13:3.14,pli-tv-bi-vb-ss13:3.15"
"pli-tv-bi-pm:36.2","pli-tv-bi-vb-ss13:3.16"
"pli-tv-bi-pm:36.3","pli-tv-bi-vb-ss13:3.17"
"pli-tv-bi-pm:36.4","pli-tv-bi-vb-ss13:3.18,pli-tv-bi-vb-ss13:3.19"
"pli-tv-bi-pm:36.5","pli-tv-bi-vb-ss13:3.20,pli-tv-bi-vb-ss13:3.21"
"pli-tv-bi-pm:36.6","pli-tv-bi-vb-ss13:3.22,pli-tv-bi-vb-ss13:3.23"
"pli-tv-bi-pm:36.7","pli-tv-bi-vb-ss13:3.24,pli-tv-bi-vb-ss13:3.25"
"pli-tv-bi-pm:36.8","pli-tv-bi-vb-ss13:3.26"
"pli-tv-bi-pm:36.9","pli-tv-bi-vb-ss13:3.28"
"pli-tv-bi-pm:37.0","Recitation of the Rules of Relinquishment With Confession "
"pli-tv-bi-pm:37.1","pli-tv-bi-vb-np1:0.6"
"pli-tv-bi-pm:38.0.2","Relinquishment With Confession 1: Collecting Bowls "
"pli-tv-bi-pm:38.1","pli-tv-bi-vb-np1:1.14.1"
"pli-tv-bi-pm:39.0","Relinquishment With Confession 2: Sharing Out-of-Season Robe Cloth "
"pli-tv-bi-pm:39.1","pli-tv-bi-vb-np2:1.25.1"
"pli-tv-bi-pm:40.0","Relinquishment With Confession 3: Swapping Robes "
"pli-tv-bi-pm:40.1","pli-tv-bi-vb-np3:1.20.1"
"pli-tv-bi-pm:41.0","Relinquishment With Confession 4: Asking for Something Else "
"pli-tv-bi-pm:41.1","pli-tv-bi-vb-np4:1.27.1"
"pli-tv-bi-pm:42.0","Relinquishment With Confession 5: Exchanging for Something Else "
"pli-tv-bi-pm:42.1","pli-tv-bi-vb-np5:1.28.1"
"pli-tv-bi-pm:43.0","Relinquishment With Confession 6: Exchanging Saṅgha Property "
"pli-tv-bi-pm:43.1","pli-tv-bi-vb-np6:1.16.1"
"pli-tv-bi-pm:44.0","Relinquishment With Confession 7: Exchanging Saṅgha Property (2nd) "
"pli-tv-bi-pm:44.1","pli-tv-bi-vb-np7:1.13.1"
"pli-tv-bi-pm:45.0","Relinquishment With Confession 8: Exchanging Group Property "
"pli-tv-bi-pm:45.1","pli-tv-bi-vb-np8:1.14.1"
"pli-tv-bi-pm:46.0","Relinquishment With Confession 9: Exchanging Group Property (2nd) "
"pli-tv-bi-pm:46.1","pli-tv-bi-vb-np9:1.15.1"
