"pli-tv-bu-pm:9.0","Expulsion 1. Sexual Intercourse "
"pli-tv-bu-pm:9.1","pli-tv-bu-vb-pj1:7.1.16.1"
"pli-tv-bu-pm:10.0","Expulsion 2. Theft "
"pli-tv-bu-pm:10.1","pli-tv-bu-vb-pj2:2.28.1"
"pli-tv-bu-pm:10.2","pli-tv-bu-vb-pj2:2.29"
"pli-tv-bu-pm:10.3","pli-tv-bu-vb-pj2:2.30"
"pli-tv-bu-pm:11.0","Expulsion 3. Murder "
"pli-tv-bu-pm:11.1","pli-tv-bu-vb-pj3:2.49.1"
"pli-tv-bu-pm:11.2","pli-tv-bu-vb-pj3:2.50"
"pli-tv-bu-pm:11.3","pli-tv-bu-vb-pj3:2.51"
"pli-tv-bu-pm:11.4","pli-tv-bu-vb-pj3:2.52"
"pli-tv-bu-pm:12.0","Expulsion 3. Laying False Claim to Superhuman Attainments "
"pli-tv-bu-pm:12.1","pli-tv-bu-vb-pj4:2.12.1"
"pli-tv-bu-pm:12.2","pli-tv-bu-vb-pj4:2.13"
"pli-tv-bu-pm:12.3","pli-tv-bu-vb-pj4:2.14"
"pli-tv-bu-pm:12.4","pli-tv-bu-vb-pj4:2.15"
"pli-tv-bu-pm:13.1","pli-tv-bu-vb-pj4:9.7.13"
"pli-tv-bu-pm:13.2","pli-tv-bu-vb-pj4:9.7.14"
"pli-tv-bu-pm:13.3","pli-tv-bu-vb-pj4:9.7.15"
"pli-tv-bu-pm:13.4","pli-tv-bu-vb-pj4:9.7.16,pli-tv-bu-vb-pj4:9.7.17"
"pli-tv-bu-pm:13.5","pli-tv-bu-vb-pj4:9.7.18,pli-tv-bu-vb-pj4:9.7.19"
"pli-tv-bu-pm:13.6","pli-tv-bu-vb-pj4:9.7.20,pli-tv-bu-vb-pj4:9.7.21"
"pli-tv-bu-pm:13.7","pli-tv-bu-vb-pj4:9.7.22,pli-tv-bu-vb-pj4:9.7.23"
"pli-tv-bu-pm:13.8","pli-tv-bu-vb-pj4:9.7.24"
"pli-tv-bu-pm:14.0","Recitation of the Rules of Suspension "
"pli-tv-bu-pm:14.1","pli-tv-bu-vb-ss1:0.5"
"pli-tv-bu-pm:15.0","Suspension 1: Masturbation "
"pli-tv-bu-pm:15.1","pli-tv-bu-vb-ss1:2.1.13.1"
"pli-tv-bu-pm:16.0","Suspension 2: Physical Contact "
"pli-tv-bu-pm:16.1","pli-tv-bu-vb-ss2:1.2.15.1"
"pli-tv-bu-pm:17.0","Suspension 1: Indecent Speech "
"pli-tv-bu-pm:17.1","pli-tv-bu-vb-ss3:1.2.14.1"
"pli-tv-bu-pm:18.0","Suspension 4: Encouraging Someone to Serve One’s Desires "
"pli-tv-bu-pm:18.1","pli-tv-bu-vb-ss4:1.2.19.1"
"pli-tv-bu-pm:19.0","Suspension 5: Matchmaking "
"pli-tv-bu-pm:19.1","pli-tv-bu-vb-ss5:2.2.13.1"
"pli-tv-bu-pm:20.0","Suspension 6: Building a Hut "
"pli-tv-bu-pm:20.1","pli-tv-bu-vb-ss6:1.6.6.1"
"pli-tv-bu-pm:20.2","pli-tv-bu-vb-ss6:1.6.7"
"pli-tv-bu-pm:20.3","pli-tv-bu-vb-ss6:1.6.8"
"pli-tv-bu-pm:21.0","Suspension 7: Building a Dwelling "
"pli-tv-bu-pm:21.1","pli-tv-bu-vb-ss7:1.19.1"
"pli-tv-bu-pm:21.2","pli-tv-bu-vb-ss7:1.20"
"pli-tv-bu-pm:21.3","pli-tv-bu-vb-ss7:1.21"
"pli-tv-bu-pm:22.0","Suspension 8: Making a Groundless Accusation Out of Anger "
"pli-tv-bu-pm:22.1","pli-tv-bu-vb-ss8:1.9.32.1"
"pli-tv-bu-pm:22.2","pli-tv-bu-vb-ss8:1.9.33"
"pli-tv-bu-pm:23.0","Suspension 9: Making an Accusation Out of Anger on an Irrelevant Pretext "
"pli-tv-bu-pm:23.1","pli-tv-bu-vb-ss9:1.2.14.1"
"pli-tv-bu-pm:23.2","pli-tv-bu-vb-ss9:1.2.15"
"pli-tv-bu-pm:24.0","Suspension 10: Causing Schism in the Saṅgha "
"pli-tv-bu-pm:24.1","pli-tv-bu-vb-ss10:1.3.16.1"
"pli-tv-bu-pm:24.2","pli-tv-bu-vb-ss10:1.3.17"
"pli-tv-bu-pm:24.3","pli-tv-bu-vb-ss10:1.3.18"
"pli-tv-bu-pm:24.4","pli-tv-bu-vb-ss10:1.3.19"
"pli-tv-bu-pm:24.5","pli-tv-bu-vb-ss10:1.3.20"
"pli-tv-bu-pm:24.6","pli-tv-bu-vb-ss10:1.3.21"
"pli-tv-bu-pm:25.0","Suspension 11: Following a Schismatic "
"pli-tv-bu-pm:25.1","pli-tv-bu-vb-ss11:1.19.1"
"pli-tv-bu-pm:25.2","pli-tv-bu-vb-ss11:1.20"
"pli-tv-bu-pm:25.3","pli-tv-bu-vb-ss11:1.21"
"pli-tv-bu-pm:25.4","pli-tv-bu-vb-ss11:1.22"
"pli-tv-bu-pm:25.5","pli-tv-bu-vb-ss11:1.23"
"pli-tv-bu-pm:25.6","pli-tv-bu-vb-ss11:1.24"
"pli-tv-bu-pm:25.7","pli-tv-bu-vb-ss11:1.25"
"pli-tv-bu-pm:25.8","pli-tv-bu-vb-ss11:1.26"
"pli-tv-bu-pm:25.9","pli-tv-bu-vb-ss11:1.27"
"pli-tv-bu-pm:25.10","pli-tv-bu-vb-ss11:1.28"
"pli-tv-bu-pm:25.11","pli-tv-bu-vb-ss11:1.29"
"pli-tv-bu-pm:25.12","pli-tv-bu-vb-ss11:1.30"
"pli-tv-bu-pm:26.0","Suspension 12: Difficult to Correct "
"pli-tv-bu-pm:26.1","pli-tv-bu-vb-ss12:1.26.1"
"pli-tv-bu-pm:26.2","pli-tv-bu-vb-ss12:1.27"
"pli-tv-bu-pm:26.3","pli-tv-bu-vb-ss12:1.28"
"pli-tv-bu-pm:26.4","pli-tv-bu-vb-ss12:1.29"
"pli-tv-bu-pm:26.5","pli-tv-bu-vb-ss12:1.30"
"pli-tv-bu-pm:26.6","pli-tv-bu-vb-ss12:1.31"
"pli-tv-bu-pm:26.7","pli-tv-bu-vb-ss12:1.32"
"pli-tv-bu-pm:26.8","pli-tv-bu-vb-ss12:1.33"
"pli-tv-bu-pm:26.9","pli-tv-bu-vb-ss12:1.34"
"pli-tv-bu-pm:26.10","pli-tv-bu-vb-ss12:1.35"
"pli-tv-bu-pm:27.0","Suspension 13: Corrupters of Families "
"pli-tv-bu-pm:27.1","pli-tv-bu-vb-ss13:1.8.10.1"
"pli-tv-bu-pm:27.2","pli-tv-bu-vb-ss13:1.8.11"
"pli-tv-bu-pm:27.3","pli-tv-bu-vb-ss13:1.8.12"
"pli-tv-bu-pm:27.4","pli-tv-bu-vb-ss13:1.8.13"
"pli-tv-bu-pm:27.5","pli-tv-bu-vb-ss13:1.8.14"
"pli-tv-bu-pm:27.6","pli-tv-bu-vb-ss13:1.8.15"
"pli-tv-bu-pm:27.7","pli-tv-bu-vb-ss13:1.8.16"
"pli-tv-bu-pm:27.8","pli-tv-bu-vb-ss13:1.8.17"
"pli-tv-bu-pm:27.9","pli-tv-bu-vb-ss13:1.8.18"
"pli-tv-bu-pm:27.10","pli-tv-bu-vb-ss13:1.8.19"
"pli-tv-bu-pm:27.11","pli-tv-bu-vb-ss13:1.8.20"
"pli-tv-bu-pm:28.1","pli-tv-bu-vb-ss13:3.2.7"
"pli-tv-bu-pm:28.2","pli-tv-bu-vb-ss13:3.2.8"
"pli-tv-bu-pm:28.3","pli-tv-bu-vb-ss13:3.2.9"
"pli-tv-bu-pm:28.4","pli-tv-bu-vb-ss13:3.2.10"
"pli-tv-bu-pm:28.5","pli-tv-bu-vb-ss13:3.2.11"
"pli-tv-bu-pm:28.6","pli-tv-bu-vb-ss13:3.2.12"
"pli-tv-bu-pm:28.7","pli-tv-bu-vb-ss13:3.2.13"
"pli-tv-bu-pm:28.8","pli-tv-bu-vb-ss13:3.2.14"
"pli-tv-bu-pm:28.9","pli-tv-bu-vb-ss13:3.2.15"
"pli-tv-bu-pm:28.10","pli-tv-bu-vb-ss13:3.2.26"
"pli-tv-bu-pm:29.0","Recitation of the Undetermined Rules "
"pli-tv-bu-pm:29.1","pli-tv-bu-vb-ay1:0.5"
"pli-tv-bu-pm:30.0","Undetermined 1: First Undetermined Offence "
"pli-tv-bu-pm:30.1","pli-tv-bu-vb-ay1:1.32.1"
"pli-tv-bu-pm:30.2","pli-tv-bu-vb-ay1:1.33"
"pli-tv-bu-pm:30.3","pli-tv-bu-vb-ay1:1.34"
"pli-tv-bu-pm:30.4","pli-tv-bu-vb-ay1:1.35"
"pli-tv-bu-pm:30.5","pli-tv-bu-vb-ay1:1.36"
"pli-tv-bu-pm:31.0","Undetermined 2: Second Undetermined Offence "
"pli-tv-bu-pm:31.1","pli-tv-bu-vb-ay2:1.19.1"
"pli-tv-bu-pm:31.2","pli-tv-bu-vb-ay2:1.20"
"pli-tv-bu-pm:31.3","pli-tv-bu-vb-ay2:1.21"
"pli-tv-bu-pm:31.4","pli-tv-bu-vb-ay2:1.22"
"pli-tv-bu-pm:31.5","pli-tv-bu-vb-ay2:1.23"
"pli-tv-bu-pm:31.6","pli-tv-bu-vb-ay2:1.24"
"pli-tv-bu-pm:32.1","pli-tv-bu-vb-ay2:3.10"
"pli-tv-bu-pm:32.2","pli-tv-bu-vb-ay2:3.11,pli-tv-bu-vb-ay2:3.12"
"pli-tv-bu-pm:32.3","pli-tv-bu-vb-ay2:3.13,pli-tv-bu-vb-ay2:3.14"
"pli-tv-bu-pm:32.4","pli-tv-bu-vb-ay2:3.15,pli-tv-bu-vb-ay2:3.16"
